order_id,customer_id,customer_name,customer_age,gender,platform,city,category,product_name,product_MRP,discount_percent,quantity,product_cost_price,packaging_cost,operational_cost,delivery_cost,delivery_time_minutes,estimated_delivery,delivery_rating,dark_store_location,delivery_partner_type,order_datetime,delivery_distance_km,weather,returned/cancel
ORD100169,CUST90169,Dharmajan Tiwari,28,Male,Blinkit,Hyderabad,Personal Care,Sunscreen Creame,62,32,1,48,5.3,2.2,7.8,10,8,2.3,HYD-478,3rd Party,20-04-2024 04:04,5.95,Clear,FALSE
ORD100169,CUST90169,dharmajan tiwari,28,Male,Blinkit,Hyderabad,Beverages,Mango Fizz,37,10,2,34,13.6,2.2,10.7,10,8,2.3,HYD-478,3rd Party,20-04-2024 04:04,5.95,Clear,FALSE
ORD100121,CUST90121,Arjun Kalita,44,Male,Blinkit,Mumbai,Groceries,Maggie,35,8,1,32,4.2,1.1,5.9,10,8,2.2,MUM-923,Mixed,13-04-2024 13:52,1.26,Clear,FALSE
ORD100121,CUST90121,   Arjun Kalita,44,Male,Blinkit,Mumbai,Snacks,Trail Mix,18,24,2,16,2.6,1.4,8.3,10,8,2.2,MUM-923,Mixed,13-04-2024 13:52,1.26,Clear,FALSE
ORD100121,CUST90121,Arjun Kalita,44,Male,Blinkit,Mumbai,Groceries,Maggie,131,31,2,103,6.2,1.4,8.1,10,8,2.2,MUM-923,Mixed,13-04-2024 13:52,1.26,Clear,FALSE
ORD100121,CUST90121,Arjun Kalita,44,Male,Blinkit,Mumbai,Personal Care,Shampoo,94,19,1,84,4.5,1.7,7.1,10,8,2.2,MUM-923,Mixed,13-04-2024 13:52,1.26,Clear,FALSE
ORD100027,CUST90027,Anya Salvi,25,Female,Blinkit,Bangalore,Groceries,Turmeric Powder,124,10,2,113,3.7,1.2,6.7,10,10,4,BLR-478,Own Fleet,14-01-2024 05:25,6.17,Clear,FALSE
ORD100027,CUST90027,Anya Salvi,25,Female,Blinkit,Bangalore,Groceries,Tuar Dal,21,18,1,20,5,1.8,15.3,10,10,4,BLR-478,Own Fleet,14-01-2024 05:25,6.17,Clear,FALSE
ORD100027,CUST90027,Anya Salvi,25,Female,Blinkit,Bangalore,Personal Care,Sunscreen Creame,161,15,3,147,4.5,1.3,6.2,10,10,4,BLR-478,Own Fleet,14-01-2024 05:25,6.17,Clear,FALSE
ORD100027,CUST90027,Anya Salvi,25,Female,Blinkit,Bangalore,Beverages,Coke,127,13,1,119,7.2,1.6,10.5,10,10,4,BLR-478,Own Fleet,14-01-2024 05:25,6.17,Clear,FALSE
ORD100027,CUST90027,Anya Salvi,25,Female,Blinkit,Bangalore,Household,Mop Refill,40,30,3,31,5.3,2.1,11.3,10,10,4,BLR-478,Own Fleet,14-01-2024 05:25,6.17,Clear,FALSE
ORD100027,CUST90027,Anya Salvi,25,Female,Blinkit,Bangalore,Snacks,Chilli Peanuts,35,20,1,32,3.1,2.3,9.7,10,10,4,BLR-478,Own Fleet,14-01-2024 05:25,6.17,Clear,FALSE
ORD100023,CUST90023,Amit Bora,27,Male,Blinkit,Bangalore,Groceries,Tuar Dal,27,9,1,21,7.3,1.6,6.5,10,8,3.5,BLR-897,3rd Party,07-03-2024 01:19,6.4,Clear,FALSE
ORD100023,CUST90023,Amit Bora,27,Male,Blinkit,Bangalore,Personal Care,Sunscreen Creame,53,14,2,23,4.1,1.7,7,10,8,3.5,BLR-897,3rd Party,07-03-2024 01:19,6.4,Clear,FALSE
ORD100023,CUST90023,Amit Bora,27,Male,Blinkit,Bangalore,Beverages,Coke,83,7,1,82,2.2,1.5,9.7,10,8,3.5,BLR-897,3rd Party,07-03-2024 01:19,6.4,Clear,FALSE
ORD100262,CUST90262,Anushka Sharma,23,Female,Blinkit, HYDERABAD,Beverages,Litchi Juice,50,17,1,46,3.9,1.6,10.2,18,10,5,HYD-800,3rd Party,04-02-2024 19:52,6.41,Cloudy,FALSE
ORD100262,CUST90262,Anushka Sharma,23,Female,Blinkit, HYDERABAD,Household,Toilet Cleaner,23,34,1,36,2.6,1.3,8.7,15,10,5,HYD-800,3rd Party,04-02-2024 19:52,6.41,Cloudy,FALSE
ORD100262,CUST90262,Anushka Sharma,23,Female,Blinkit, HYDERABAD,Beverages,Coke,96,10,3,77,4.7,1.8,8.7,15,10,5,HYD-800,3rd Party,04-02-2024 19:52,6.41,Cloudy,FALSE
ORD100262,CUST90262,Anushka Sharma,23,Female,Blinkit, HYDERABAD,Beverages,Coke,30,21,2,26,3.6,5.8,8.3,15,10,5,HYD-800,3rd Party,04-02-2024 19:52,6.41,Cloudy,FALSE
ORD100262,CUST90262,Anushka Sharma,23,Female,Blinkit, HYDERABAD,Personal Care,Sunscreen Creame,23,23,2,42,8.9,1.1,8.6,15,10,5,HYD-800,3rd Party,04-02-2024 19:52,6.41,Cloudy,FALSE
ORD100262,CUST90262,Anushka Sharma,23,Female,Blinkit, HYDERABAD,Personal Care,Shampoo,61,39,1,40,6.3,3.1,13.3,15,10,5,HYD-800,3rd Party,04-02-2024 19:52,6.41,Cloudy,FALSE
ORD100422,CUST90422,Biju Vora,56,Male,Blinkit,bangalore,Personal Care,Shampoo,74,30,2,25,6.8,1.4,13,10,8,2.8,BLR-734,3rd Party,09-03-2024 01:19,5.91,sunny,FALSE
ORD100422,CUST90422,Biju Vora,56,Male,Blinkit,bangalore,Beverages,Coke,120,9,3,97,3.5,1.1,9.9,10,8,2.8,BLR-734,3rd Party,09-03-2024 01:19,5.91,sunny,FALSE
ORD100396,CUST90396,Lagan Gour,26,Male,Blinkit, HYDERABAD,Groceries,Maggie,38,33,1,28,2.6,2.1,7.7,10,11,4.7,HYD-673,Mixed,23-03-2024 03:21,6.17,sunny,FALSE
ORD100396,CUST90396,Lagan Gour,26,Male,Blinkit, HYDERABAD,Groceries,Tuar Dal,82,24,2,67,2.8,1.6,11.8,10,11,4.7,HYD-673,Mixed,23-03-2024 03:21,6.17,sunny,FALSE
